               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.032479,            0.031879,           0.0081945,             0.74103,             0.65216,             0.70179,             0.43533,            0.039002,            0.026061,            0.012646,            0.002872,            0.002872,            0.002872
                  38,            0.032537,            0.031348,           0.0081569,             0.75918,             0.64744,             0.70886,             0.43989,            0.038769,            0.026192,             0.01286,            0.002674,            0.002674,            0.002674
                  39,            0.032454,            0.031221,           0.0079517,             0.73548,             0.65875,             0.70209,             0.43861,            0.038611,            0.025967,               0.013,            0.002476,            0.002476,            0.002476
                  40,            0.031889,            0.031075,           0.0077667,             0.73029,              0.6658,             0.70559,             0.43863,            0.038447,            0.025989,            0.012644,            0.002278,            0.002278,            0.002278
                  41,            0.031879,            0.031075,           0.0073353,             0.75374,             0.65779,             0.71411,             0.44379,            0.038597,            0.025995,             0.01266,             0.00208,             0.00208,             0.00208
                  42,            0.031319,            0.031126,           0.0075208,             0.75519,             0.64168,             0.70543,              0.4434,             0.03836,             0.02627,            0.012443,            0.001882,            0.001882,            0.001882
                  43,            0.030687,            0.030502,           0.0070633,             0.74518,              0.6638,             0.71115,             0.44482,            0.038197,            0.026254,            0.012315,            0.001684,            0.001684,            0.001684
                  44,            0.030448,            0.030233,           0.0070102,             0.73996,             0.67193,             0.71511,             0.44943,            0.037999,            0.026252,             0.01271,            0.001486,            0.001486,            0.001486
                  45,            0.030409,            0.030336,           0.0068003,             0.75236,             0.66411,             0.71856,             0.45711,            0.038136,            0.026145,             0.01238,            0.001288,            0.001288,            0.001288
                  46,            0.030097,            0.030544,            0.006657,             0.72882,             0.66915,             0.71691,             0.45423,             0.03804,            0.026169,            0.012266,             0.00109,             0.00109,             0.00109
                  47,            0.029806,             0.02963,           0.0065782,             0.76343,             0.66517,             0.71704,              0.4578,            0.037964,             0.02631,            0.012367,            0.000892,            0.000892,            0.000892
                  48,            0.029595,            0.029303,           0.0066986,              0.7728,             0.65395,             0.72267,             0.46235,            0.037646,            0.026486,             0.01227,            0.000694,            0.000694,            0.000694
                  49,            0.029197,            0.029437,           0.0065468,             0.75761,               0.664,             0.72394,             0.46408,            0.037684,             0.02637,            0.012546,            0.000496,            0.000496,            0.000496
